##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	HG002.hs37d5.60x.1.addrg.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1327219598
Sequences flagged as poor quality	0
Sequence length	148
%GC	39
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.15046478013203	34.0	31.0	34.0	30.0	34.0
2	32.34115010935817	34.0	31.0	34.0	30.0	34.0
3	32.38896832278391	34.0	31.0	34.0	31.0	34.0
4	35.80548900092417	37.0	35.0	37.0	35.0	37.0
5	35.747888431948844	37.0	35.0	37.0	35.0	37.0
6	35.776695160735564	37.0	36.0	37.0	35.0	37.0
7	35.77087915710539	37.0	36.0	37.0	35.0	37.0
8	35.774985596618656	37.0	36.0	37.0	35.0	37.0
9	37.49740360524724	39.0	38.0	39.0	35.0	39.0
10-14	37.78706873871825	39.4	38.2	39.4	35.2	39.4
15-19	38.93676118968822	41.0	39.0	41.0	35.2	41.0
20-24	38.94056817702295	41.0	39.0	41.0	35.0	41.0
25-29	38.82935456970249	41.0	39.0	41.0	34.8	41.0
30-34	38.69296469882296	41.0	39.0	41.0	34.0	41.0
35-39	38.537496268496184	41.0	38.0	41.0	34.0	41.0
40-44	38.38070799569372	40.2	38.0	41.0	33.6	41.0
45-49	38.16465510118243	40.0	38.0	41.0	33.0	41.0
50-54	37.95966482466001	40.0	38.0	41.0	32.8	41.0
55-59	37.71274006473796	40.0	37.2	41.0	32.0	41.0
60-64	37.37911268169806	40.0	36.4	41.0	31.2	41.0
65-69	36.87552444881845	39.0	35.4	41.0	31.0	41.0
70-74	36.241269444545985	38.0	35.0	40.4	30.0	41.0
75-79	35.48967725640832	36.6	35.0	39.2	30.0	41.0
80-84	34.66473617864706	35.6	34.0	37.6	29.0	39.4
85-89	33.935370533761514	35.0	34.0	36.4	29.0	38.2
90-94	33.422145737332606	35.0	34.0	35.8	29.0	36.8
95-99	33.12671408895214	35.0	34.0	35.0	29.0	36.0
100-104	32.35169997135621	34.6	32.8	34.8	27.2	35.4
105-109	32.87366702416641	35.0	34.0	35.0	28.6	36.0
110-114	32.90109508720501	35.0	34.0	35.0	29.0	36.0
115-119	32.8710855301882	35.0	34.0	35.0	29.0	35.6
120-124	32.807790458651745	35.0	34.0	35.0	28.2	35.0
125-129	32.7559227108399	35.0	34.0	35.0	27.0	35.0
130-134	32.68067580041868	35.0	34.0	35.0	27.0	35.0
135-139	32.61350314946148	35.0	34.0	35.0	27.0	35.0
140-144	32.5396755868278	35.0	34.0	35.0	26.4	35.0
145-148	32.18798852569385	34.75	33.25	35.0	24.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.02121944301591583
1101	2	0.05531438931108568
1101	3	0.05843209047089459
1101	4	0.07473831204308823
1101	5	0.07597638496175563
1101	6	0.06245037475476778
1101	7	0.08397746576230247
1101	8	0.06648489482537911
1101	9	0.12911979703694954
1101	10-14	0.13026307170600404
1101	15-19	0.19950668447142306
1101	20-24	0.17750947003391815
1101	25-29	0.1632762418171012
1101	30-34	0.15780351808333393
1101	35-39	0.1494346906920967
1101	40-44	0.13593641091222963
1101	45-49	0.08671063040262084
1101	50-54	0.1021244686281122
1101	55-59	0.09877447325896327
1101	60-64	0.12086761137359048
1101	65-69	0.09693942040038195
1101	70-74	0.07023178659624563
1101	75-79	0.0951128229731637
1101	80-84	0.08272790313247924
1101	85-89	0.06996779369135453
1101	90-94	0.05741041407048897
1101	95-99	0.059626287450591064
1101	100-104	0.030904932616863334
1101	105-109	0.07497547156191331
1101	110-114	0.0779329736744856
1101	115-119	0.07092245378962758
1101	120-124	0.05373390575046244
1101	125-129	0.056179934289716016
1101	130-134	0.05026895880175175
1101	135-139	0.043709971070697407
1101	140-144	0.035436223861445626
1101	145-148	-0.04963229492100396
1102	1	-0.03904032846578076
1102	2	0.005110285469363873
1102	3	0.016451090978996774
1102	4	0.04273891801354068
1102	5	0.01998504269324286
1102	6	0.01353340764344324
1102	7	0.03981922301362317
1102	8	0.07087611469959398
1102	9	0.11512183396541786
1102	10-14	0.08107920992605244
1102	15-19	0.13680910232482546
1102	20-24	0.11393769444174495
1102	25-29	0.12469594738034573
1102	30-34	0.09033414525645611
1102	35-39	0.060228588932275784
1102	40-44	0.06319041192102759
1102	45-49	0.02772256196607259
1102	50-54	0.01684648227650598
1102	55-59	0.051389157643875194
1102	60-64	0.0622373245441139
1102	65-69	0.010673831845032566
1102	70-74	0.01854427700097716
1102	75-79	0.015117601056047647
1102	80-84	2.6562113136208154E-4
1102	85-89	-0.01717437576878922
1102	90-94	-0.04000826695965287
1102	95-99	-0.03338851819606958
1102	100-104	-0.03573604143694098
1102	105-109	9.96031928032437E-4
1102	110-114	-0.01660287461190535
1102	115-119	-0.01787079354828336
1102	120-124	-0.02874044972782741
1102	125-129	-0.038145728234056264
1102	130-134	-0.05782399627231882
1102	135-139	-0.07844058486440986
1102	140-144	-0.07775119763820726
1102	145-148	-0.15817240598727267
1103	1	-0.04309913410168775
1103	2	-0.009738029919269309
1103	3	-0.0018707848604648802
1103	4	0.030302296875319712
1103	5	0.06700368064434059
1103	6	0.05284175926812651
1103	7	0.05413551253515436
1103	8	0.05459544607271738
1103	9	0.10921681389743298
1103	10-14	0.10447514351437803
1103	15-19	0.13014691531793687
1103	20-24	0.11383897133971743
1103	25-29	0.12396640681263449
1103	30-34	0.11003656148258045
1103	35-39	0.08670375545916187
1103	40-44	0.07738706180910526
1103	45-49	0.041871662333235804
1103	50-54	0.042677638753950475
1103	55-59	0.045047769227373635
1103	60-64	0.06304118706336936
1103	65-69	0.06386627892158003
1103	70-74	0.047289007511615466
1103	75-79	0.06099479475575009
1103	80-84	0.05534424453521325
1103	85-89	0.05465094102471113
1103	90-94	0.05705166436263198
1103	95-99	0.053330762868640136
1103	100-104	0.04897619055080327
1103	105-109	0.06550656211577888
1103	110-114	0.06780949041448991
1103	115-119	0.06304122940638024
1103	120-124	0.07276152182462425
1103	125-129	0.0630994960206408
1103	130-134	0.07244189557478364
1103	135-139	0.05837995190064049
1103	140-144	0.05046481217625143
1103	145-148	-0.023183987840042164
1104	1	-0.03857084613934347
1104	2	-0.0012095255232509317
1104	3	-0.010382860815276729
1104	4	0.03386147829370856
1104	5	0.04666259100721959
1104	6	0.05329061080506392
1104	7	0.07544066750055833
1104	8	0.05316781583503172
1104	9	0.12237956839763342
1104	10-14	0.08511665940616808
1104	15-19	0.11484074107295328
1104	20-24	0.09404467439084385
1104	25-29	0.0977306456888769
1104	30-34	0.08612860788048948
1104	35-39	0.0828416827049594
1104	40-44	0.04888129558511167
1104	45-49	0.019094948771893883
1104	50-54	0.024181937578397594
1104	55-59	0.029315375561900225
1104	60-64	0.05056264349033057
1104	65-69	0.035945111616769054
1104	70-74	0.040676019580764944
1104	75-79	0.06503471106981351
1104	80-84	0.07394052443812882
1104	85-89	0.056751613496800246
1104	90-94	0.050117919309997205
1104	95-99	0.04544771385703683
1104	100-104	0.043481189696237266
1104	105-109	0.07699214377543484
1104	110-114	0.06011474164566977
1104	115-119	0.05448944803525535
1104	120-124	0.05327550337239728
1104	125-129	0.07283359653710164
1104	130-134	0.06099854519332837
1104	135-139	0.06163927765359034
1104	140-144	0.051724598234528685
1104	145-148	-0.012760285245938974
1105	1	-0.05563143594736886
1105	2	-0.02208640120511518
1105	3	-0.002869704148544372
1105	4	0.02768069240156734
1105	5	0.030242492803509435
1105	6	0.03668548357427426
1105	7	0.043928309407839095
1105	8	0.04142199314491535
1105	9	0.08285457099113813
1105	10-14	0.05133840304262094
1105	15-19	0.07226779719022147
1105	20-24	0.05493479636425036
1105	25-29	0.05917224652142039
1105	30-34	0.04766047266482332
1105	35-39	0.02951886343484489
1105	40-44	0.0034309098117404346
1105	45-49	-0.012634515766073662
1105	50-54	-0.005097663772431815
1105	55-59	0.007173182413964696
1105	60-64	0.017251974149516514
1105	65-69	0.0037198492486538726
1105	70-74	0.010219590649462873
1105	75-79	0.02628260782401526
1105	80-84	0.03832090364340246
1105	85-89	0.03126383547177625
1105	90-94	0.02955532682386064
1105	95-99	0.030870623929509122
1105	100-104	0.01095532513038222
1105	105-109	0.03887700120000659
1105	110-114	0.05462890913855745
1105	115-119	0.04431115829918042
1105	120-124	0.04631193120088284
1105	125-129	0.04003299051901621
1105	130-134	0.045577736281806835
1105	135-139	0.045683363106178376
1105	140-144	0.03467394207453367
1105	145-148	-0.03857932087556293
1106	1	-0.031356977552398746
1106	2	-0.010832019426537443
1106	3	-0.018755804112139174
1106	4	0.005425761282467079
1106	5	0.04987858197538486
1106	6	0.03731444644679982
1106	7	0.06364330908320426
1106	8	0.058240665981948325
1106	9	0.0812308666251127
1106	10-14	0.05810939905464352
1106	15-19	0.08214912264340057
1106	20-24	0.051563483345447025
1106	25-29	0.06922512891973298
1106	30-34	0.05013160078570422
1106	35-39	0.041823670454341766
1106	40-44	0.035673872502457016
1106	45-49	0.012431314520142678
1106	50-54	0.02471733297953449
1106	55-59	0.02063660087376462
1106	60-64	0.02664897134348365
1106	65-69	0.038374350049764416
1106	70-74	0.023167395431499926
1106	75-79	0.06209803891209731
1106	80-84	0.0575530075603794
1106	85-89	0.05726570985471113
1106	90-94	0.044888955553872734
1106	95-99	0.05679901825418199
1106	100-104	0.05842179610957743
1106	105-109	0.07158859048151811
1106	110-114	0.06946908155350684
1106	115-119	0.061361624877015686
1106	120-124	0.07544662479013908
1106	125-129	0.07247119869372654
1106	130-134	0.08455548584122141
1106	135-139	0.07452983308885308
1106	140-144	0.07818379203664705
1106	145-148	0.020371665962962027
1107	1	-0.031244857376805157
1107	2	-0.02942316055536054
1107	3	-0.02063912753699526
1107	4	-0.002732593639741765
1107	5	0.004566735631989616
1107	6	-0.003871278467769912
1107	7	0.02371578878209135
1107	8	0.02542872006928576
1107	9	0.043035164072179555
1107	10-14	0.009512204229281451
1107	15-19	0.049373036759533306
1107	20-24	0.018028833087939233
1107	25-29	0.015353451117519512
1107	30-34	0.007201994318776883
1107	35-39	-0.008771422148278418
1107	40-44	-0.007571141814423754
1107	45-49	-0.0393179879296639
1107	50-54	-0.023592579824686766
1107	55-59	-0.023123606453516743
1107	60-64	-0.0021058663984234727
1107	65-69	0.014105193371733549
1107	70-74	-0.012337113015988166
1107	75-79	0.027210543530344466
1107	80-84	0.028873318198947118
1107	85-89	0.02905536104065476
1107	90-94	0.026947450392860617
1107	95-99	0.025016228234498783
1107	100-104	0.017596148014042967
1107	105-109	0.06173860002239451
1107	110-114	0.034961123988139775
1107	115-119	0.041298815254855015
1107	120-124	0.05170549123770485
1107	125-129	0.06097964399184974
1107	130-134	0.05922023864246029
1107	135-139	0.0525259667978446
1107	140-144	0.046144476438371385
1107	145-148	-0.004233676197181069
1108	1	-0.04437415741104189
1108	2	-0.02779971796379499
1108	3	-0.004247276185097348
1108	4	0.0048335596367579114
1108	5	5.068899358491308E-4
1108	6	-0.015848156106592626
1108	7	0.020544776237358064
1108	8	0.025945379976960226
1108	9	0.05686003337388712
1108	10-14	0.00946714558967443
1108	15-19	0.0194547910956544
1108	20-24	0.015831343771814943
1108	25-29	0.01702636016745629
1108	30-34	-0.002296892720394794
1108	35-39	-0.008387292290272796
1108	40-44	0.0021299214172643133
1108	45-49	-0.02975441419172853
1108	50-54	-0.017728212668046694
1108	55-59	-0.01448435021212191
1108	60-64	-0.01824872429002511
1108	65-69	0.014971966443994233
1108	70-74	-4.927636325362528E-4
1108	75-79	0.03987533488702155
1108	80-84	0.04131017302210438
1108	85-89	0.036101233293955204
1108	90-94	0.024184531070872595
1108	95-99	0.04801691125603469
1108	100-104	0.04544662943121125
1108	105-109	0.04697389499773408
1108	110-114	0.043887477234875405
1108	115-119	0.05284236878045334
1108	120-124	0.0422618611996981
1108	125-129	0.055989204641448964
1108	130-134	0.06916573721537134
1108	135-139	0.06905570869090383
1108	140-144	0.05729569585987093
1108	145-148	0.02412367596331677
1109	1	-0.03663939203476474
1109	2	-0.04706503802399453
1109	3	-0.048208208911233896
1109	4	-0.011882712978398047
1109	5	-0.015414570505662084
1109	6	-0.02758355783460331
1109	7	-0.006886008860291781
1109	8	-0.013044587867206303
1109	9	-0.003761779465165205
1109	10-14	-0.0147421188204504
1109	15-19	0.001012557988417484
1109	20-24	0.005653283763599859
1109	25-29	-0.01831253358326279
1109	30-34	-0.010220381119104616
1109	35-39	-0.02973185060994865
1109	40-44	-0.0315725597654648
1109	45-49	-0.0243717313504348
1109	50-54	-0.034017844497441274
1109	55-59	-0.04047555579118978
1109	60-64	-0.004121795699980169
1109	65-69	-0.01004474582526882
1109	70-74	0.012549289348868342
1109	75-79	0.022259540641073272
1109	80-84	0.033607163895204906
1109	85-89	0.04838636128083351
1109	90-94	0.035940829500020754
1109	95-99	0.04238788060463605
1109	100-104	0.02806802722582802
1109	105-109	0.06284134083330883
1109	110-114	0.04982288329190965
1109	115-119	0.06787091185611871
1109	120-124	0.07761633886926944
1109	125-129	0.07949661057714508
1109	130-134	0.08694132021346235
1109	135-139	0.07710807400629704
1109	140-144	0.08270251914625248
1109	145-148	0.023313295454975957
1110	1	-0.04481296931531631
1110	2	-0.03795222466650472
1110	3	-0.03205098616263058
1110	4	-0.005362599648449873
1110	5	-0.011683976485528547
1110	6	-0.028759476478526835
1110	7	-0.013566460428961591
1110	8	-0.03188484062533803
1110	9	-0.008710506746531621
1110	10-14	-0.029708775024403167
1110	15-19	-0.009577229211089389
1110	20-24	-0.031394262948666096
1110	25-29	-0.019803989931361343
1110	30-34	-0.03874988444943028
1110	35-39	-0.033142838435651356
