PICARD.CMM.NO_PAIR	1,327,219,598
PICARD.CMM.NO_PAIR_1	663,609,799
PICARD.CMM.NO_PAIR_2	663,609,799
FASTQC.GC_PER	
FASTQC.DUPLICATION_PER	
SAMTOOLS.SEQUENCE_LENGTH	151
SAMTOOLS.NO_MAPPED_READS	64,975,431
SAMTOOLS.NO_UNMAPPED_READS	30,758
SAMTOOLS.MAPPED_RATIO	99.953
SAMTOOLS.XY_RATIO	3.06
SAMTOOLS.EST_GENDER	Male
SAMTOOLS.CHROM_COVERAGE_TAB	Chromosome,Length,# Mapped,# Unmapped,Total,Mapped Ratio,Coverage|1,248,956,422,5,457,448,9,237,5,466,685,99.83%,3.3|2,242,193,529,5,291,223,9,463,5,300,686,99.82%,3.3|3,198,295,559,4,398,998,7,716,4,406,714,99.82%,3.3|4,190,214,555,4,233,006,7,493,4,240,499,99.82%,3.4|5,181,538,259,3,903,920,7,124,3,911,044,99.82%,3.2|6,170,805,979,3,617,731,6,412,3,624,143,99.82%,3.2|7,159,345,973,3,446,725,5,968,3,452,693,99.83%,3.3|8,145,138,636,3,150,119,5,492,3,155,611,99.83%,3.3|9,138,394,717,2,644,731,4,611,2,649,342,99.83%,2.9|10,133,797,422,2,962,927,5,193,2,968,120,99.83%,3.3|11,135,086,622,2,877,353,5,111,2,882,464,99.82%,3.2|12,133,275,309,2,872,244,4,993,2,877,237,99.83%,3.3|13,114,364,328,2,259,724,3,986,2,263,710,99.82%,3.0|14,107,043,718,1,897,836,3,342,1,901,178,99.82%,2.7|15,101,991,189,1,757,663,3,165,1,760,828,99.82%,2.6|16,90,338,345,2,037,224,3,526,2,040,750,99.83%,3.4|17,83,257,441,1,723,090,3,015,1,726,105,99.83%,3.1|18,80,373,285,1,721,005,3,017,1,724,022,99.83%,3.2|19,58,617,616,1,169,953,1,935,1,171,888,99.83%,3.0|20,64,444,167,1,432,500,2,560,1,435,060,99.82%,3.4|21,46,709,983,953,855,1,815,955,670,99.81%,3.1|22,50,818,468,812,778,1,417,814,195,99.83%,2.4|X,156,040,895,1,715,394,3,049,1,718,443,99.82%,1.7|Y,57,227,415,559,638,1,108,560,746,99.8%,1.5|M,16,569,30,989,75,31,064,99.76%,282.4|
SAMTOOLS.COVERAGE_ALL_CHROM	3.0
SAMTOOLS.COVERAGE_MAIN_CHROM	3.1
